greek,russian,english,example,category
---,Политика и общество,,,
ένταξη στην ομάδα,интеграция в команду,team integration,Η ένταξη στην ομάδα των νεοεισερχόμενων μελών αποτελεί προτεραιότητα για τη διοίκηση.,Ιστορία 22
η ένταξη,включение / интеграция,"inclusion, integration",Η ένταξη των προσφύγων στην αγορά εργασίας παραμένει ζητούμενο για την ελληνική κοινωνία.,13 Jan
αειφορία,устойчивость,sustainability,Η αειφορία βρίσκεται στο επίκεντρο του νέου αναπτυξιακού σχεδίου της κυβέρνησης.,16 Sep
αειφόρος,устойчивый,sustainable,Η χώρα χρειάζεται ένα αειφόρο μοντέλο ανάπτυξης που θα σέβεται το περιβάλλον.,16 Sep
αλληλεγγύη,солидарность,solidarity,"Σε περιόδους κρίσης, η αλληλεγγύη μεταξύ των πολιτών αποκτά ιδιαίτερη σημασία.",Ιστορία 26
η αλληλεγγύη,солидарность,solidarity,Η αλληλεγγύη προς τους πληγέντες εκδηλώθηκε άμεσα με συγκέντρωση ανθρωπιστικής βοήθειας.,6 May
αμείβω,"оплачивать, вознаграждать",to remunerate,Το κράτος οφείλει να αμείβει αξιοκρατικά τους δημοσίους υπαλλήλους.,3 Feb
ανταμείβω,награждать,to reward,Η κοινωνία πρέπει να ανταμείβει όσους προσφέρουν εθελοντική εργασία στην κοινότητα.,3 Feb
Αναδεικνύονται σοβαρές αδυναμίες.,Проявляются серьёзные слабости.,Serious weaknesses are emerging.,"Αναδεικνύονται σοβαρές αδυναμίες στο σύστημα υγείας, σύμφωνα με τα νέα στοιχεία.",Анализ ситуации
καταδεικνύω,"доказывать, показывать","to demonstrate, prove",Τα στοιχεία καταδεικνύουν τη σοβαρότητα του προβλήματος στις δημόσιες υπηρεσίες.,22 Oct
αυτοκράτορας,император,emperor,"Ο αυτοκράτορας Κωνσταντίνος ίδρυσε τη νέα πρωτεύουσα στο Βυζάντιο, αλλάζοντας τη ροή της ιστορίας.",12 Dec
αυτοκρατορία,империя,empire,"Η Οθωμανική Αυτοκρατορία κυριάρχησε στα Βαλκάνια επί τέσσερις αιώνες, αφήνοντας ανεξίτηλα σημάδια.",12 Dec
γραφειοκρατία,бюрократия,bureaucracy,Η γραφειοκρατία εξακολουθεί να αποτελεί τροχοπέδη για τις επενδύσεις στην Ελλάδα.,Ιστορία 30
δημοκρατικός,демократический,democratic,Ο δημοκρατικός διάλογος αποτελεί θεμέλιο του πολιτικού μας συστήματος.,Ιστορία 29
κρατώ τα όριά μου,держать свои границы,keep my boundaries,Στη δημόσια σφαίρα είναι σημαντικό να κρατώ τα όριά μου απέναντι σε πιέσεις.,25 Sep
τρομοκράτης / τρομοκρατία,террорист / терроризм,terrorist / terrorism,Η τρομοκρατία αποτελεί απειλή για τις δημοκρατικές αξίες και τα ανθρώπινα δικαιώματα.,17 Mar
βιώσιμες λύσεις,устойчивые решения,sustainable solutions,Οι ειδικοί ζητούν βιώσιμες λύσεις για τη διαχείριση των αστικών αποβλήτων.,Ιστορία 40
βιώσιμο μέλλον,устойчивое будущее,sustainable future,Η νέα γενιά διεκδικεί ένα βιώσιμο μέλλον μέσα από κινήματα για το κλίμα.,Ιστορία 36
βιώσιμος,устойчивый / жизнеспособный,sustainable,"Ο βιώσιμος τουρισμός κερδίζει έδαφος στα ελληνικά νησιά, σύμφωνα με πρόσφατη μελέτη.",9 Jan
βιώσιμος τρόπος ζωής,устойчивый образ жизни,sustainable lifestyle,Ένας βιώσιμος τρόπος ζωής προϋποθέτει συνειδητές καθημερινές επιλογές από κάθε πολίτη.,Ιστορία 23
Δεν είναι συγκυριακό φαινόμενο.,Это не случайное явление.,It is not a coincidental phenomenon.,"Δεν είναι συγκυριακό φαινόμενο η αύξηση της ανεργίας, αλλά αποτέλεσμα διαρθρωτικών αδυναμιών.",Анализ ситуации
Δεν μπορεί να ιδωθεί αποσπασματικά.,Это нельзя рассматривать фрагментарно.,It cannot be viewed in fragments.,"Το μεταναστευτικό δεν μπορεί να ιδωθεί αποσπασματικά, αλλά απαιτεί ολιστική προσέγγιση.",Анализ ситуации
Δεν υπάρχει συνεννόηση. / Παρατηρείται έλλειψη συνεννόησης.,Нет взаимопонимания. / Наблюдается отсутствие взаимопонимания.,There is no understanding.,Δεν υπάρχει συνεννόηση μεταξύ κυβέρνησης και αντιπολίτευσης για το ασφαλιστικό νομοσχέδιο.,Социальный контекст
δεσποτεία,деспотизм / господство,domination / despotism,Η δεσποτεία ως πολιτικό σύστημα μελετάται ως αντίθεση στη δημοκρατική διακυβέρνηση.,27 Mar
δεσπότης,деспот / властелин,master / dominant,"Ο Αλί Πασάς, δεσπότης της Ηπείρου, ίδρυσε μια ανεξάρτητη αυτοκρατορία εντός της Οθωμανικής.",27 Mar
δημοσκόπηση,опрос общественного мнения,poll / survey,Η τελευταία δημοσκόπηση δείχνει σημαντική μεταβολή στις προθέσεις ψήφου των πολιτών.,21 Mar
δημόσιος,"государственный, публичный",public,Ο δημόσιος τομέας στην Ελλάδα υφίσταται βαθιά μεταρρύθμιση προς τον ψηφιακό μετασχηματισμό.,Part 4
δημόσιος υπάλληλος,государственный служащий,public servant,Ο δημόσιος υπάλληλος καλείται να ανταποκριθεί στις αυξημένες απαιτήσεις ψηφιοποίησης.,10 Jan
Η δημόσια συζήτηση εκτρέπεται.,Публичная дискуссия уходит в сторону.,The public debate is going off track.,"Η δημόσια συζήτηση εκτρέπεται προς δευτερεύοντα ζητήματα, αποφεύγοντας τα ουσιαστικά θέματα.",Социальный контекст
εντάσσομαι,вступаю / интегрируюсь,"to join, be integrated",Χιλιάδες νέοι δυσκολεύονται να εντάσσονται στην αγορά εργασίας μετά τις σπουδές τους.,13 Jan
εντάσσομαι στην κοινωνία,интегрируюсь в общество,integrate into society,Οι μετανάστες χρειάζονται στήριξη για να εντάσσονται στην κοινωνία ομαλά και ισότιμα.,31 Oct
υποτάσσομαι,подчиняться,"to submit, obey",Κανείς δεν πρέπει να υποτάσσεται σε αυθαίρετες αποφάσεις που παραβιάζουν τα δικαιώματά του.,13 Feb
επιστράτευση,мобилизация,mobilization,Η επιστράτευση επιστημόνων για τη διαχείριση της πανδημίας ήταν επιβεβλημένη κίνηση.,21 Aug
επιστρατεύω,мобилизовать,to mobilize,Η κυβέρνηση αποφάσισε να επιστρατεύσει κάθε διαθέσιμο μέσο για την αντιμετώπιση της κρίσης.,21 Aug
Η κοινωνία βρίσκεται σε μεταβατική φάση.,Общество находится в переходной фазе.,Society is in a transitional phase.,"Η κοινωνία βρίσκεται σε μεταβατική φάση, αναζητώντας νέα πρότυπα οργάνωσης και αλληλεγγύης.",Социальный контекст
Η κοινωνική συνοχή δοκιμάζεται.,Социальная сплочённость испытывается.,Social cohesion is being tested.,Η κοινωνική συνοχή δοκιμάζεται από τις οικονομικές ανισότητες και τον κοινωνικό αποκλεισμό.,Фразы уровня Γ2
κοινωνικές δεξιότητες υπό διάβρωση,социальные навыки под угрозой разрушения,social skills under erosion,Οι κοινωνικές δεξιότητες υπό διάβρωση αποτελούν αντικείμενο ανησυχίας για τους παιδαγωγούς.,5 Dec
κοινωνική απομόνωση,социальная изоляция,social isolation,Η κοινωνική απομόνωση των ηλικιωμένων αποτελεί σοβαρό πρόβλημα δημόσιας υγείας.,Ιστορία 35
κοινωνική επιχείρηση,социальное предприятие,social enterprise,Η κοινωνική επιχείρηση συνδυάζει την οικονομική βιωσιμότητα με τον κοινωνικό σκοπό.,Ιστορία 30
κοινωνικός αυτοματισμός,социальный автоматизм,social automation,Ο κοινωνικός αυτοματισμός οδηγεί σε αδιαφορία απέναντι σε φαινόμενα βίας και αδικίας.,23 Dec
κοινωνικός κομφορμισμός,социальный конформизм,social conformity,Ο κοινωνικός κομφορμισμός περιορίζει τη δημιουργικότητα και ευνοεί την ομοιομορφία σκέψης.,30 May
Η κρίση λαμβάνει νέες διαστάσεις.,Кризис приобретает новые измерения.,The crisis is taking on new dimensions.,"Η κρίση λαμβάνει νέες διαστάσεις, καθώς πλήττει πλέον και τα μεσαία στρώματα.",Фразы уровня Γ2
κρίση,кризис,crisis,Η ενεργειακή κρίση ανέδειξε τις δομικές αδυναμίες του ευρωπαϊκού ενεργειακού μοντέλου.,Ιστορία 27
η πρεσβεία,посольство,embassy,Η ελληνική πρεσβεία στην Ουάσιγκτον εξέδωσε ανακοίνωση για την ενίσχυση των διμερών σχέσεων.,12 Dec
πρέσβης / πρεσβευτής,посол,ambassador,Ο Έλληνας πρέσβης στο Βερολίνο συναντήθηκε με τον Γερμανό υπουργό Εξωτερικών.,16 Feb
κομματίζομαι,становиться политически ангажированным,to be politically partisan,"Η κοινωνία κομματίζεται ολοένα περισσότερο, διχάζοντας ακόμα και στενούς φίλους.",16 Feb
κόμμα,политическая партия,political party,Το κόμμα της αντιπολίτευσης ζήτησε εξηγήσεις για την οικονομική πολιτική της κυβέρνησης.,16 Feb
περιθωριοποίηση,маргинализация,marginalization,Η περιθωριοποίηση ευάλωτων κοινωνικών ομάδων τροφοδοτεί τη ριζοσπαστικοποίηση νέων.,20 Dec
περιθωριοποιώ,маргинализировать,marginalise,"Η κοινωνία τείνει να περιθωριοποιεί ευάλωτες ομάδες, αποκλείοντάς τες από βασικά δικαιώματα.",12 Dec
πολιτική έκρηξη,политический взрыв,political explosion,Η πολιτική έκρηξη που προκάλεσε το σκάνδαλο οδήγησε σε πρόωρες εκλογές.,16 Feb
πολιτική διαδικασία,политический процесс,political process,Η πολιτική διαδικασία χρειάζεται μεταρρύθμιση ώστε να αποκτήσει μεγαλύτερη διαφάνεια.,Ιστορία 21
πολιτική προστασία,гражданская защита,civil protection,Η πολιτική προστασία ενεργοποιήθηκε άμεσα μετά τις πλημμύρες στη Θεσσαλία.,21 Aug
πολιτική στάση,политическая позиция,political stance,Η πολιτική στάση της Αθήνας απέναντι στην ενεργειακή κρίση αναμένεται με ενδιαφέρον.,Ιστορία 33
άδικο πρόστιμο,несправедливый штраф,unfair fine,Η ένωση πολιτών κατέθεσε αγωγή κατά των άδικων προστίμων που επιβλήθηκαν μαζικά.,30 Sep
έλλειψη ελεύθερου χρόνου,нехватка свободного времени,lack of free time,Η έλλειψη ελεύθερου χρόνου επηρεάζει αρνητικά την ποιότητα ζωής των εργαζομένων.,Ιστορία 43
ίδρυμα,"фонд, институт",foundation,Το ίδρυμα ανακοίνωσε πρόγραμμα υποτροφιών για φοιτητές από ευάλωτες κοινωνικές ομάδες.,9 May
ίχνη,следы,traces,"Σύμφωνα με την Καθημερινή, τα ίχνη της αρχαίας πόλης αποκαλύφθηκαν κατά τη διάρκεια ανασκαφών στη Θεσσαλονίκη.",Γ2 exam
ανδράποδο,раб,slave,Η ιστορία δείχνει πώς εκατομμύρια άνθρωποι μετατράπηκαν σε ανδράποδα στην αρχαιότητα.,12 Dec
ανθρώπινη εκμετάλλευση,эксплуатация людей,human exploitation,"Η ανθρώπινη εκμετάλλευση παραμένει σύγχρονη μάστιγα σε πολλές χώρες, σύμφωνα με τον ΟΗΕ.",Ιστορία 18
ανοιχτή διαβούλευση πολιτών,открытая гражданская консультация,open civic consultation,Η ανοιχτή διαβούλευση πολιτών αποτελεί βασικό εργαλείο ενίσχυσης της δημοκρατίας.,Ιστορία 21
ανταποδοτικός,взаимный / вознаграждающий,"rewarding, reciprocal",Ο ανταποδοτικός χαρακτήρας του νέου φορολογικού μέτρου δεν πείθει τους πολίτες.,20 Dec
αντιμεταναστευτικό αίσθημα,антимиграционные настроения,anti-immigration sentiment,"Το αντιμεταναστευτικό αίσθημα ενισχύεται σε χώρες της Ανατολικής Ευρώπης, σύμφωνα με έρευνα.",9 Jan
Απαιτούνται θεσμικές παρεμβάσεις.,Требуются институциональные вмешательства.,Institutional interventions are required.,Απαιτούνται θεσμικές παρεμβάσεις για τη θωράκιση του κράτους δικαίου στη χώρα.,Социальный контекст
απεργία,забастовка,strike,"Η γενική απεργία παρέλυσε τις δημόσιες μεταφορές, σύμφωνα με ρεπορτάζ της Καθημερινής.",12 Dec
Αποκαλύπτονται τα ρήγματα της κοινωνίας.,Обнажаются трещины общества.,The cracks in society are being revealed.,Αποκαλύπτονται τα ρήγματα της κοινωνίας μέσα από τις αντιδράσεις στο νέο εργασιακό νομοσχέδιο.,Фразы уровня Γ2
βουλή,парламент,parliament,Η βουλή ψήφισε τον νέο νόμο για τη φορολογία ακινήτων μετά από πολύωρη συζήτηση.,10 Mar
δείκτης γεννησιμότητας,показатель рождаемости,birth rate,Ο δείκτης γεννησιμότητας στην Ελλάδα βρίσκεται στα χαμηλότερα επίπεδα της Ευρώπης.,9 Jan
διαδήλωση,"демонстрация, протест",protest march,Η διαδήλωση στο κέντρο της Αθήνας συγκέντρωσε χιλιάδες πολίτες κατά της ακρίβειας.,16 Feb
διαδηλώνω,"демонстрировать, протестовать",to protest,Εκατοντάδες φοιτητές διαδηλώνουν καθημερινά στο Σύνταγμα για τα εκπαιδευτικά δικαιώματά τους.,16 Feb
διακρίσεις,дискриминация,discrimination,Οι φυλετικές διακρίσεις στον χώρο εργασίας αποτελούν παραβίαση θεμελιωδών ανθρωπίνων δικαιωμάτων.,12 Dec
διαφεντεύω,"управлять, властвовать","to govern, rule",Δεν μπορεί κανείς να διαφεντεύει τη δημόσια ζωή χωρίς δημοκρατική νομιμοποίηση.,16 Sep
διοικώ,управлять,to administer,Η ικανότητα να διοικεί κανείς αποτελεσματικά απαιτεί γνώσεις και εμπειρία στη δημόσια σφαίρα.,3 Mar
Δοκιμάζονται οι αντοχές των θεσμών.,Испытывается устойчивость институтов.,The resilience of institutions is being tested.,Δοκιμάζονται οι αντοχές των θεσμών υπό το βάρος της πολιτικής αστάθειας.,Социальный контекст
εθνικισμός,национализм,nationalism,"Ο εθνικισμός αναζωπυρώνεται σε πολλές ευρωπαϊκές χώρες, τροφοδοτώντας τον διχασμό.",9 May
ελευθερία του λόγου,свобода слова,freedom of speech,Η ελευθερία του λόγου αποτελεί θεμελιώδες δικαίωμα που πρέπει να προστατεύεται.,17 Mar
ενεργός πολίτης,активный гражданин,active citizen,Ο ενεργός πολίτης συμμετέχει στις δημοκρατικές διαδικασίες και ελέγχει την εξουσία.,Ιστορία 21
Ενισχύεται το αίσθημα ανασφάλειας.,Усиливается чувство небезопасности.,The feeling of insecurity is growing.,Ενισχύεται το αίσθημα ανασφάλειας στους πολίτες εξαιτίας της αύξησης της εγκληματικότητας.,Социальный контекст
Εντείνεται ο κοινωνικός διχασμός.,Усиливается социальный раскол.,Social division is intensifying.,Εντείνεται ο κοινωνικός διχασμός καθώς οι οικονομικές ανισότητες γίνονται πιο έντονες.,Фразы уровня Γ2
εξανδραποδίζω,обращать в рабство,to enslave (formal),Στη σύγχρονη εποχή εξακολουθούν να εξανδραποδίζονται εκατομμύρια ανθρώπων παγκοσμίως.,12 Dec
επιδείξεις,демонстрации,demonstrations,Οι στρατιωτικές επιδείξεις δύναμης προκαλούν ανησυχία στην ευρύτερη περιοχή της Ανατολικής Μεσογείου.,Γ2 exam
επιτήρηση πολιτών,наблюдение за гражданами,citizen surveillance,Η επιτήρηση πολιτών μέσω τεχνολογίας εγείρει σοβαρά ζητήματα ιδιωτικότητας.,Ιστορία 24
επιφανειακή κοινωνικότητα,поверхностное общение,superficial socializing,Η επιφανειακή κοινωνικότητα των μέσων κοινωνικής δικτύωσης δεν αντικαθιστά τις αυθεντικές σχέσεις.,Ιστορία 19
εταιρική κοινωνική ευθύνη,корпоративная социальная ответственность,corporate social responsibility,Η εταιρική κοινωνική ευθύνη δεν πρέπει να αποτελεί απλά εργαλείο δημοσίων σχέσεων.,Ιστορία 18
ευχέρεια,"лёгкость, свобода","ease, fluency",Η ευχέρεια πρόσβασης στη δημόσια πληροφορία αποτελεί προϋπόθεση της διαφάνειας.,13 May
η δικτατορία,диктатура,dictatorship,Η δικτατορία των Συνταγματαρχών (1967-74) αποτέλεσε τραυματική εμπειρία για τη νεοελληνική δημοκρατία.,7 Mar
Η εικόνα που έχουμε είναι μερική.,Наша картина неполная.,The picture we have is partial.,"Η εικόνα που έχουμε είναι μερική, καθώς λείπουν βασικά στατιστικά δεδομένα από τις περιφέρειες.",Анализ ситуации
Η εμπιστοσύνη προς τους θεσμούς έχει κλονιστεί.,Доверие к институтам пошатнулось.,Trust in institutions has been shaken.,Η εμπιστοσύνη προς τους θεσμούς έχει κλονιστεί μετά τα πρόσφατα σκάνδαλα διαφθοράς.,Социальный контекст
η ενσωμάτωση,интеграция,integration,Η ενσωμάτωση των μεταναστών στην κοινωνία απαιτεί ολοκληρωμένες πολιτικές ένταξης.,9 Dec
Η εξέλιξη αυτή εντάσσεται σε ένα ευρύτερο πλαίσιο.,Это вписывается в более широкий контекст.,This development fits into a broader context.,Η εξέλιξη αυτή εντάσσεται σε ένα ευρύτερο πλαίσιο γεωπολιτικών αλλαγών στη Μεσόγειο.,Фразы уровня Γ2
η επίδειξη,демонстрация / показ,demonstration,Η επίδειξη δύναμης από τα κράτη δεν οδηγεί πάντα σε σταθερότητα στην περιοχή.,21 Nov
Η κατάσταση έχει περιπλακεί σημαντικά.,Ситуация значительно усложнилась.,The situation has become significantly more complex.,Η κατάσταση έχει περιπλακεί σημαντικά μετά τις δηλώσεις του υπουργού Εξωτερικών.,Анализ ситуации
