greek,russian,english,topic
η εκεχειρία,перемирие,ceasefire,international_relations
η διαμεσολάβηση,посредничество,mediation,international_relations
ο αφοπλισμός,разоружение,disarmament,international_relations
η κυριαρχία,суверенитет,sovereignty,international_relations
η δικαιοδοσία,юрисдикция,jurisdiction,international_relations
το εμπάργκο,эмбарго,embargo,international_relations
η αποτροπή,сдерживание,deterrence,international_relations
η επικύρωση συνθήκης,ратификация договора,treaty ratification,international_relations
η πολυμέρεια,многосторонность,multilateralism,international_relations
η διμερής συμφωνία,двустороннее соглашение,bilateral agreement,international_relations
η ουδετερότητα,нейтралитет,neutrality,international_relations
η ανθρωπιστική βοήθεια,гуманитарная помощь,humanitarian aid,international_relations
η προσφυγική κρίση,миграционный кризис,refugee crisis,international_relations
η αποαποικιοποίηση,деколонизация,decolonization,international_relations
η γεωπολιτική,геополитика,geopolitics,international_relations
η ηγεμονία,гегемония,hegemony,international_relations
το προξενείο,консульство,consulate,international_relations
η πρεσβεία,посольство,embassy,international_relations
ο πρέσβης,посол,ambassador,international_relations
η έκδοση (φυγόδικου),экстрадиция,extradition,international_relations
το πολιτικό άσυλο,политическое убежище,political asylum,international_relations
η αυτοδιάθεση,самоопределение,self-determination,international_relations
η ειρηνευτική αποστολή,миротворческая миссия,peacekeeping mission,international_relations
η στρατιωτική επέμβαση,военная интервенция,military intervention,international_relations
η αντιπροσωπεία,делегация,delegation,international_relations
η συνθήκη,договор (международный),treaty,international_relations
η σύμβαση,конвенция,convention,international_relations
η κατάπαυση πυρός,прекращение огня,ceasefire,international_relations
η ένταξη σε διεθνή οργανισμό,вступление в международную организацию,accession to international organization,international_relations
η αλληλεγγύη,солидарность,solidarity,international_relations
η ασυλία,иммунитет (дипломатический),immunity,international_relations
η γενοκτονία,геноцид,genocide,international_relations
η παραβίαση,нарушение (права),violation,international_relations
η κλιμάκωση,эскалация,escalation,international_relations
η αποκλιμάκωση,деэскалация,de-escalation,international_relations
η υπονόμευση,подрыв,undermining,international_relations
η συμμόρφωση,соблюдение (норм),compliance,international_relations
η ανταλλαγή αιχμαλώτων,обмен пленными,prisoner exchange,international_relations
η ομοσπονδία,федерация,federation,international_relations
η συνομοσπονδία,конфедерация,confederation,international_relations
η διεθνής κοινότητα,международное сообщество,international community,international_relations
η υπερεθνική οργάνωση,наднациональная организация,supranational organization,international_relations
ο διεθνής οργανισμός,международная организация,international organization,international_relations
η διπλωματική ατζέντα,дипломатическая повестка,diplomatic agenda,international_relations
η στρατηγική εταιρική σχέση,стратегическое партнёрство,strategic partnership,international_relations
η σύγκρουση συμφερόντων,конфликт интересов,conflict of interest,international_relations
η ένοπλη σύγκρουση,вооружённый конфликт,armed conflict,international_relations
η μεταναστευτική πολιτική,миграционная политика,migration policy,international_relations
η ανθρωπιστική κρίση,гуманитарный кризис,humanitarian crisis,international_relations
η αποστρατιωτικοποίηση,демилитаризация,demilitarization,international_relations
η ψήφισμα,резолюция,resolution,international_relations
η βέτο,вето,veto,international_relations
η αντεπίθεση,контрнаступление,counteroffensive,international_relations
η εδαφική ακεραιότητα,территориальная целостность,territorial integrity,international_relations
η επέκταση,расширение (альянса),expansion,international_relations
η διπλωματική απομόνωση,дипломатическая изоляция,diplomatic isolation,international_relations
η πυρηνική αποτροπή,ядерное сдерживание,nuclear deterrence,international_relations
η ζώνη ελεύθερων συναλλαγών,зона свободной торговли,free trade zone,international_relations
η τελωνειακή ένωση,таможенный союз,customs union,international_relations
η ειρηνική συνύπαρξη,мирное сосуществование,peaceful coexistence,international_relations
η εξωτερική πολιτική,внешняя политика,foreign policy,international_relations
η κατοχή,оккупация,occupation,international_relations
η παρεμβατικότητα,интервенционизм,interventionism,international_relations
η αμοιβαία αναγνώριση,взаимное признание,mutual recognition,international_relations
η αποζημίωση,репарация / компенсация,reparation,international_relations
η διαπραγμάτευση,переговоры,negotiation,international_relations
η συνεργασία,сотрудничество,cooperation,international_relations
η προσέγγιση,сближение,rapprochement,international_relations
η αλλαγή καθεστώτος,смена режима,regime change,international_relations
η ναυτική αποκλεισμός,морская блокада,naval blockade,international_relations
το φαινόμενο του θερμοκηπίου,парниковый эффект,greenhouse effect,environment
το αποτύπωμα άνθρακα,углеродный след,carbon footprint,environment
η υπερθέρμανση του πλανήτη,глобальное потепление,global warming,environment
η αποψίλωση δασών,вырубка лесов,deforestation,environment
η βιοποικιλότητα,биоразнообразие,biodiversity,environment
